,State,Year,Quarter,District,Transaction_Count,Transaction_Amount
228,assam,2019,1,goalpara district,113947,191744923.215441
229,assam,2019,1,biswanath district,59752,91143579.39023894
230,assam,2019,1,jorhat district,125165,215041144.37958878
231,assam,2019,2,tinsukia district,148294,323303192.86631006
232,assam,2019,2,lakhimpur district,88545,154536738.9259897
233,assam,2019,2,kamrup district,176995,334724712.0725308
234,assam,2019,2,kokrajhar district,58445,136120566.46937045
235,assam,2019,2,karbi anglong district,62877,150114998.0486763
236,assam,2019,2,sivasagar district,74192,134981544.55457747
237,assam,2019,2,dibrugarh district,169357,356524668.62132466
238,assam,2019,2,south salmara mancachar district,32449,69876713.5681054
239,assam,2019,2,nagaon district,231423,422774561.3600137
240,assam,2019,2,dhubri district,101070,201203482.8078656
241,assam,2019,2,golaghat district,89403,157511569.7769561
242,assam,2019,2,udalguri district,51326,108912182.9417754
243,assam,2019,2,majuli district,13800,17825869.547913164
244,assam,2019,2,sonitpur district,192707,444337498.7727274
245,assam,2019,2,hojai district,63598,125015617.43164451
246,assam,2019,2,marigaon district,130459,235342996.58975655
247,assam,2019,2,chirang district,31621,65747046.11911234
248,assam,2019,2,cachar district,177976,335126276.2091832
249,assam,2019,2,nalbari district,64729,108268162.20079285
250,assam,2019,2,west karbi anglong district,10260,15373392.65586704
251,assam,2019,2,dhemaji district,66560,150306788.81401327
252,assam,2019,2,karimganj district,70635,144404980.60717523
253,assam,2019,2,bongaigaon district,80689,155642822.44107914
254,assam,2019,2,dima hasao district,28118,57300032.732904054
255,assam,2019,2,baksa district,70162,150019543.78537178
256,assam,2019,2,charaideo district,45010,85061629.87310517
257,assam,2019,2,darrang district,70387,140869866.57193547
258,assam,2019,2,kamrup metropolitan district,2488968,5089657876.792284
259,assam,2019,2,hailakandi district,47321,79845847.4735592
260,assam,2019,2,barpeta district,228864,466786096.3962827
261,assam,2019,2,goalpara district,97473,201643499.0041993
262,assam,2019,2,biswanath district,61472,103930302.37445727
263,assam,2019,2,jorhat district,129744,231878110.7193352
264,assam,2019,4,tinsukia district,224113,423685126.94560075
265,assam,2019,4,lakhimpur district,129734,211979144.7023744
266,assam,2019,4,kamrup district,249708,461559258.766533
267,assam,2019,4,kokrajhar district,90371,198548447.25328588
268,assam,2019,4,karbi anglong district,95122,214907046.11081886
269,assam,2019,4,sivasagar district,112099,192010348.16393307
270,assam,2019,4,dibrugarh district,255885,470389915.7975105
271,assam,2019,4,south salmara mancachar district,39935,91996007.23237559
272,assam,2019,4,nagaon district,287586,546184547.4478517
273,assam,2019,4,dhubri district,134357,284612415.48264515
274,assam,2019,4,golaghat district,138710,238009780.18189836
275,assam,2019,4,udalguri district,77332,154704605.56495023
276,assam,2019,4,majuli district,20488,26928995.953304544
277,assam,2019,4,sonitpur district,298139,613461613.2726698
278,assam,2019,4,hojai district,95246,175607661.95152915
279,assam,2019,4,marigaon district,132919,263927905.91411433
280,assam,2019,4,chirang district,51791,101022374.81498426
281,assam,2019,4,cachar district,273506,482197783.1553297
282,assam,2019,4,nalbari district,95723,156653435.63897616
283,assam,2019,4,west karbi anglong district,17914,25460539.282486644
284,assam,2019,4,dhemaji district,103033,197496702.44348955
285,assam,2019,4,karimganj district,108697,194919405.22699457
286,assam,2019,4,bongaigaon district,119397,235963764.71799022
287,assam,2019,4,dima hasao district,45414,93463244.8365884
288,assam,2019,4,baksa district,106632,221221950.65788725
289,assam,2019,4,charaideo district,70323,125582119.32897243
290,assam,2019,4,darrang district,98623,201143725.75237712
291,assam,2019,4,kamrup metropolitan district,2510384,7206165641.817837
292,assam,2019,4,hailakandi district,67877,117286060.91560167
293,assam,2019,4,barpeta district,295624,613479659.5323288
294,assam,2019,4,goalpara district,139662,282003507.8056698
295,assam,2019,4,biswanath district,88764,151710760.8210323
296,assam,2019,4,jorhat district,185402,307700398.0221567
297,assam,2019,3,tinsukia district,196245,357008533.5524102
298,assam,2019,3,lakhimpur district,115808,182745177.30235583
299,assam,2019,3,kamrup district,222439,383883901.2477784
300,assam,2019,3,kokrajhar district,77004,153786698.22127867
301,assam,2019,3,karbi anglong district,83280,173411321.7054668
302,assam,2019,3,sivasagar district,101503,160505383.6038673
303,assam,2019,3,dibrugarh district,230118,425077484.1305032
304,assam,2019,3,south salmara mancachar district,32727,72591552.54102534
305,assam,2019,3,nagaon district,258566,491551326.21533215
306,assam,2019,3,dhubri district,115968,235503727.27269614
307,assam,2019,3,golaghat district,121795,194779142.64060068
308,assam,2019,3,udalguri district,69169,133441413.33037564
309,assam,2019,3,majuli district,19170,22241164.406410635
310,assam,2019,3,sonitpur district,257623,533288953.0348954
311,assam,2019,3,hojai district,84120,154505233.54100534
312,assam,2019,3,marigaon district,116364,242626706.43637043
313,assam,2019,3,chirang district,45161,87808950.14199197
314,assam,2019,3,cachar district,242781,426502976.7731471
315,assam,2019,3,nalbari district,82814,133051985.19050579
316,assam,2019,3,west karbi anglong district,14546,17754122.575145133
317,assam,2019,3,dhemaji district,90986,171587706.61930138
318,assam,2019,3,karimganj district,96450,167756855.41726434
319,assam,2019,3,bongaigaon district,104703,184020775.95802072
320,assam,2019,3,dima hasao district,41878,80649915.50275356
321,assam,2019,3,baksa district,92868,175122110.84885266
322,assam,2019,3,charaideo district,59490,103441007.08569291
323,assam,2019,3,darrang district,90156,171891466.67902952
324,assam,2019,3,kamrup metropolitan district,2188998,6080999088.202992
325,assam,2019,3,hailakandi district,62134,95753332.8367396
326,assam,2019,3,barpeta district,262253,505242250.25981045
327,assam,2019,3,goalpara district,119928,234306376.69394106
328,assam,2019,3,biswanath district,78058,123277846.06646207
329,assam,2019,3,jorhat district,167468,274329134.3924885
330,assam,2021,1,tinsukia district,480161,1160430411.7091098
331,assam,2021,1,lakhimpur district,278213,669614741.670135
332,assam,2021,1,kamrup district,557802,1450662971.6951797
333,assam,2021,1,kokrajhar district,228889,627990382.7904459
334,assam,2021,1,karbi anglong district,217934,608528765.1323997
335,assam,2021,1,sivasagar district,242611,602350918.9850893
336,assam,2021,1,dibrugarh district,680608,1710571109.9822497
337,assam,2021,1,south salmara mancachar district,134708,477352228.40615606
338,assam,2021,1,nagaon district,675634,2019926209.3789358
339,assam,2021,1,dhubri district,362613,1035861131.4318309
340,assam,2021,1,golaghat district,311238,749087184.8333428
341,assam,2021,1,udalguri district,173233,451305008.43282115
342,assam,2021,1,majuli district,34915,74357604.61004795
343,assam,2021,1,sonitpur district,669242,1689369790.428941
344,assam,2021,1,hojai district,220269,591418708.8113766
345,assam,2021,1,marigaon district,298011,918760114.9692955
346,assam,2021,1,chirang district,127192,321319197.07738817
347,assam,2021,1,cachar district,614703,1577581912.6812966
348,assam,2021,1,nalbari district,197323,506378435.7122495
349,assam,2021,1,west karbi anglong district,41137,84887268.51304872
350,assam,2021,1,dhemaji district,231336,615209792.8336076
351,assam,2021,1,karimganj district,304173,916185934.3111196
