,State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
256,ladakh,2019,2,Recharge & bill payments,25357,10116773.366134495
257,ladakh,2019,2,Merchant payments,8220,7726519.367758205
258,ladakh,2019,2,Financial Services,86,113767.09768193656
259,ladakh,2019,2,Others,907,992737.2376073576
260,ladakh,2019,4,Peer-to-peer payments,42095,298044908.5075786
261,ladakh,2019,4,Recharge & bill payments,35467,16510212.100753112
262,ladakh,2019,4,Merchant payments,6522,8717893.899929387
263,ladakh,2019,4,Financial Services,46,162760.63254625077
264,ladakh,2019,4,Others,576,1253584.887304229
265,ladakh,2019,3,Peer-to-peer payments,43198,303596367.67958534
266,ladakh,2019,3,Recharge & bill payments,41491,18054746.121448334
267,ladakh,2019,3,Merchant payments,6963,8096082.971229901
268,ladakh,2019,3,Financial Services,48,148633.29469977494
269,ladakh,2019,3,Others,696,1233697.1268589406
270,ladakh,2021,1,Peer-to-peer payments,141894,869999786.1513934
271,ladakh,2021,1,Recharge & bill payments,72719,35459532.4121063
272,ladakh,2021,1,Merchant payments,58875,74977913.47237433
273,ladakh,2021,1,Financial Services,629,1455016.148284281
274,ladakh,2021,1,Others,1298,1527565.0627209258
275,ladakh,2021,2,Peer-to-peer payments,209818,1259044412.4358737
276,ladakh,2021,2,Recharge & bill payments,95458,44754721.82815341
277,ladakh,2021,2,Merchant payments,92078,119608470.0411553
278,ladakh,2021,2,Financial Services,755,1756762.1471181023
279,ladakh,2021,2,Others,1607,2094729.0180191218
280,ladakh,2021,4,Peer-to-peer payments,337120,1804428550.1884875
281,ladakh,2021,4,Merchant payments,169110,284786365.9296017
282,ladakh,2021,4,Recharge & bill payments,120607,58403893.47253243
283,ladakh,2021,4,Financial Services,912,3068708.947120995
284,ladakh,2021,4,Others,2438,2847620.2425241945
285,ladakh,2021,3,Peer-to-peer payments,330919,1917311078.1287262
286,ladakh,2021,3,Merchant payments,135108,233260756.5088715
287,ladakh,2021,3,Recharge & bill payments,121856,58750081.8151172
288,ladakh,2021,3,Financial Services,900,1911625.5446910746
289,ladakh,2021,3,Others,2204,2751201.9371823343
290,ladakh,2018,1,Recharge & bill payments,3550,927250.7143707818
291,ladakh,2018,1,Peer-to-peer payments,1752,10767803.999610368
292,ladakh,2018,1,Merchant payments,320,369327.62555241917
293,ladakh,2018,1,Financial Services,132,274283.17576680594
294,ladakh,2018,1,Others,335,194192.25581440225
295,ladakh,2018,2,Recharge & bill payments,8075,2417434.2729015187
296,ladakh,2018,2,Peer-to-peer payments,5667,42638443.11997231
297,ladakh,2018,2,Merchant payments,724,1761366.2964342085
298,ladakh,2018,2,Financial Services,151,127324.6279709443
299,ladakh,2018,2,Others,393,390334.220462498
300,ladakh,2018,4,Recharge & bill payments,16650,5701932.895454288
301,ladakh,2018,4,Peer-to-peer payments,15939,123611779.58930421
302,ladakh,2018,4,Merchant payments,1881,5082666.820758243
303,ladakh,2018,4,Financial Services,142,94604.73391846984
