,State,Year,Quarter,District_Pincode,Transaction_count,Transaction_amount
291,tripura,2019,2,799045,30319,21458238.372993916
292,tripura,2019,2,799003,29082,40602059.270438924
293,tripura,2019,2,799002,23046,43809528.62988832
294,tripura,2019,2,799046,19204,10921338.980957638
295,tripura,2019,2,799006,18093,35941960.945502445
296,tripura,2019,2,799155,16468,22532424.095161695
297,tripura,2019,2,799102,16037,30417659.361688234
298,tripura,2019,2,799004,15295,19554348.303277653
299,tripura,2019,2,799114,14847,26757331.919482447
300,tripura,2019,4,799001,59817,116307801.07017073
301,tripura,2019,4,799045,45821,35598657.925334334
302,tripura,2019,4,799003,42568,61220263.69783716
303,tripura,2019,4,799002,33256,61939778.4373323
304,tripura,2019,4,799046,31323,13628181.157013314
305,tripura,2019,4,799006,27159,49275861.03234182
306,tripura,2019,4,799114,25221,41391803.91662499
307,tripura,2019,4,799102,24449,40151522.77156638
308,tripura,2019,4,799004,23382,28838355.07026829
309,tripura,2019,4,799007,19531,31168699.079625934
310,tripura,2019,3,799001,51438,93380569.27025789
311,tripura,2019,3,799045,39334,29298594.069710083
312,tripura,2019,3,799003,39244,53780117.536917195
313,tripura,2019,3,799046,29219,15207739.612069774
314,tripura,2019,3,799130,28057,3238309.1577247446
315,tripura,2019,3,799002,26328,50162441.78055528
316,tripura,2019,3,799102,24908,36342978.789730325
317,tripura,2019,3,799006,23880,42917645.29760188
318,tripura,2019,3,799114,20776,30346722.341008067
319,tripura,2019,3,799004,19818,26236206.515483726
320,tripura,2021,1,799001,164426,351838459.6746892
321,tripura,2021,1,799003,78218,150843150.2731369
322,tripura,2021,1,799006,59597,112591803.35512727
323,tripura,2021,1,799002,51373,102124507.47055371
324,tripura,2021,1,799102,44866,119821045.16698335
325,tripura,2021,1,799007,43503,84124781.34950277
326,tripura,2021,1,799114,40132,92541940.02667081
327,tripura,2021,1,799004,39713,72262565.21975665
328,tripura,2021,1,799014,32288,62794570.68835791
329,tripura,2021,1,799250,31567,63515189.29873623
330,tripura,2021,2,799001,180337,373392994.57616675
331,tripura,2021,2,799003,90822,155529445.10942465
332,tripura,2021,2,799006,65418,113783445.13858834
333,tripura,2021,2,799002,57605,107430080.57647577
334,tripura,2021,2,799102,51180,115247617.3938867
335,tripura,2021,2,799007,48536,88158651.8442125
336,tripura,2021,2,799004,47039,81810219.06405766
337,tripura,2021,2,799114,46849,96199743.14707626
338,tripura,2021,2,799250,37122,74144287.76944911
339,tripura,2021,2,799155,35330,68704764.73818848
340,tripura,2021,4,799001,295775,586031411.957277
341,tripura,2021,4,799003,131927,254466503.09277552
342,tripura,2021,4,799006,96497,171670600.71489757
343,tripura,2021,4,799002,86597,156698917.09374124
344,tripura,2021,4,799102,71034,166663716.72451225
345,tripura,2021,4,799007,70960,139950429.76039606
346,tripura,2021,4,799114,64040,145294915.4439746
347,tripura,2021,4,799004,60088,123338690.05052328
348,tripura,2021,4,799250,57697,138474164.3670132
349,tripura,2021,4,799005,54415,90474426.21293609
350,tripura,2021,3,799001,239712,491293307.22377086
351,tripura,2021,3,799003,106992,191426035.85396883
352,tripura,2021,3,799006,81643,144075502.84419107
353,tripura,2021,3,799002,70618,133797947.46158756
354,tripura,2021,3,799102,62055,136672967.2902025
355,tripura,2021,3,799007,58347,114150703.73060586
356,tripura,2021,3,799004,54930,99569788.42354734
357,tripura,2021,3,799114,53892,123731311.35281976
358,tripura,2021,3,799250,46394,101244270.42708679
359,tripura,2021,3,799014,42780,80557687.52728595
360,tripura,2018,1,799001,9535,11029713.22537743
361,tripura,2018,1,799046,8115,4481185.965617785
362,tripura,2018,1,799003,7721,6889318.059385335
363,tripura,2018,1,799155,7519,5383748.109126912
364,tripura,2018,1,799002,6060,6393590.665619975
365,tripura,2018,1,799004,4945,3958909.446629426
